origin,destination,people,reason_group,source_status
대구,청도군,520,주거/demo,demo
경산시,청도군,410,생활권/demo,demo
서울,청도군,250,귀촌/demo,demo
부산,청도군,190,귀촌/demo,demo
청도군,대구,470,의료·일자리/demo,demo
청도군,경산시,360,생활권/demo,demo
대구,의성군,390,귀촌/demo,demo
서울,의성군,220,귀촌/demo,demo
의성군,안동시,410,의료·생활/demo,demo
의성군,대구,330,일자리/demo,demo
원주시,영월군,430,생활권/demo,demo
서울,영월군,280,귀촌/demo,demo
영월군,원주시,390,의료·일자리/demo,demo
영월군,제천시,300,생활권/demo,demo
광주,고흥군,540,귀촌/demo,demo
순천시,고흥군,310,생활권/demo,demo
고흥군,순천시,430,의료·일자리/demo,demo
고흥군,광주,350,가족·일자리/demo,demo
부산,하동군,360,귀촌/demo,demo
진주시,하동군,320,생활권/demo,demo
하동군,진주시,390,의료·생활/demo,demo
하동군,부산,240,일자리/demo,demo

